Country,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3
Portugal,-5.93,4.64,-1,3.74,-4.6,1.93,-0.64
Qatar,,,,,,1.62,-0.21
Romania,-4.17,3.62,-6.31,10.55,-3.79,3.35,-2.9
Russian Federation,-2.04,4.29,2.16,0.19,7.96,2.34,1.01
Rwanda,-0.25,-0.46,1.86,4.22,-2,-0.25,1.81
Saudi Arabia,,,,,,0,0
"Serbia, Rep. of",1.06,3.95,-0.72,2.04,-2.22,4.91,2.03
Seychelles,11.79,-3.44,-5.31,-3.73,-5.44,7.27,-0.99
Singapore,1.9,-0.45,0.65,6.13,-4.15,-2.79,2.38
Slovak Rep.,3.07,-2.49,-1.48,0.59,1.74,-0.43,0.16
"Slovenia, Rep. of",-3.19,3.84,0.92,-0.41,-4.79,3.88,0.03
Spain,-1.04,0.96,-2.05,1.69,-0.81,1.37,-2.06
Sri Lanka,,-0.6,0.71,11.59,3.22,9.33,-3.44
Sweden,0.05,2.01,4.1,-4.22,-0.16,1.03,4.72
Switzerland,0.12,0.34,0.07,0.09,0.18,0.09,-0.34
Thailand,1.07,-6.93,-2.48,6.65,11.4,-8.52,-2.12
Turkey,0.48,1.13,0.44,1.05,3.53,1.67,1.39
Ukraine,5.13,1.05,-0.61,8.07,1.29,4.65,1.98
United Kingdom,0.38,1.56,-1.5,-0.44,2.67,1.16,-2.44
United States,0.15,0.24,-0.39,0.3,0.22,1.03,-0.15
Uruguay,2.33,0.76,1.89,0.72,0.51,1.69,0.12
